,06_15,10_03,Standup,pick_item,UsingComputer,boxing,magic,jogging,01_14
06_15,1.0,0.6867363597170204,0.7061311859837061,0.7280591771272529,0.7625894444724115,0.8404119618584857,0.6752911475298231,0.6119514132619754,0.3505166606062974
10_03,0.6867363597170204,1.0,0.7887934266006624,0.5951725266762009,0.5932130992124676,0.6085596521832957,0.5979279364012171,0.7353620475297686,0.4980812801014195
Standup,0.7061311859837061,0.7887934266006624,1.0,0.6281748628452921,0.6980311130183527,0.6224517318766638,0.6303879755587682,0.5962563654798543,0.47475197028440064
pick_item,0.7280591771272529,0.5951725266762009,0.6281748628452921,1.0,0.6281835447037591,0.8063226936195036,0.694645886174295,0.45445752074596013,0.2925215737673367
UsingComputer,0.7625894444724115,0.5932130992124676,0.6980311130183527,0.6281835447037591,1.0,0.7302189058172426,0.4859669256534941,0.48837785986182125,0.3672591034851077
boxing,0.8404119618584857,0.6085596521832957,0.6224517318766638,0.8063226936195036,0.7302189058172426,1.0,0.6257096916395974,0.534627093982027,0.33407726274736205
magic,0.6752911475298231,0.5979279364012171,0.6303879755587682,0.694645886174295,0.4859669256534941,0.6257096916395974,1.0,0.5473895446148538,0.37313282781074186
jogging,0.6119514132619754,0.7353620475297686,0.5962563654798543,0.45445752074596013,0.48837785986182125,0.534627093982027,0.5473895446148538,1.0,0.4403400500865403
01_14,0.3505166606062974,0.4980812801014195,0.47475197028440064,0.2925215737673367,0.3672591034851077,0.33407726274736205,0.37313282781074186,0.4403400500865403,1.0
